"Létrehozva","Értéknap","Számla","Oldal","Összeg","tranzakció Egyedi azonosító"
"---","2025.11.05","`05306: Hatósági díjak","T","40 000","SZ/SZAL/4/2025"
"---","2025.11.05","`0454: Szállítók","K","40 000","SZ/SZAL/4/2025"
"---","2025.10.31","`5302: Bank költségek","T","792","NY/SZAL/45/2025"
"---","2025.10.31","`382: Folyószámla","K","792","NY/SZAL/45/2025"
"---","2025.10.31","`5302: Bank költségek","T","486","NY/SZAL/46/2025"
"---","2025.10.31","`382: Folyószámla","K","486","NY/SZAL/46/2025"
"---","2025.10.23","`3831: Pál homály pénztár zsebe","T","149 736","NY/VEV/11/2025"
"---","2025.10.23","`711: Föld alapú támogatások","K","149 736","NY/VEV/11/2025"
"---","2025.10.20","`5306: Hatósági díjak","T","40 000","FIZ/SZAL/3/2025"
"---","2025.10.20","`0454: Szállítók","T","40 000","FIZ/SZAL/3/2025"
"---","2025.10.20","`382: Folyószámla","K","40 000","FIZ/SZAL/3/2025"
"---","2025.10.20","`05306: Hatósági díjak","K","40 000","FIZ/SZAL/3/2025"
"---","2025.10.20","`5306: Hatósági díjak","T","68 000","FIZ/SZAL/4/2025"
"---","2025.10.20","`0454: Szállítók","T","68 000","FIZ/SZAL/4/2025"
"---","2025.10.20","`382: Folyószámla","K","68 000","FIZ/SZAL/4/2025"
"---","2025.10.20","`05306: Hatósági díjak","K","68 000","FIZ/SZAL/4/2025"
"---","2025.10.18","`3832: Dániel homály pénztár zsebe","T","495 000","ATV/2/2025"
"---","2025.10.18","`3831: Pál homály pénztár zsebe","K","495 000","ATV/2/2025"
"---","2025.10.16","`623: Épület költségei","T","130 000","NY/SZAL/28/2025"
"---","2025.10.16","`3832: Dániel homály pénztár zsebe","K","130 000","NY/SZAL/28/2025"
"---","2025.10.16","`3831: Pál homály pénztár zsebe","T","214 030","NY/VEV/9/2025"
"---","2025.10.16","`711: Föld alapú támogatások","K","214 030","NY/VEV/9/2025"
"---","2025.10.16","`3831: Pál homály pénztár zsebe","T","340 428","NY/VEV/10/2025"
"---","2025.10.16","`711: Föld alapú támogatások","K","340 428","NY/VEV/10/2025"
"---","2025.10.10","`623: Épület költségei","T","195 000","NY/SZAL/27/2025"
"---","2025.10.10","`3832: Dániel homály pénztár zsebe","K","195 000","NY/SZAL/27/2025"
"---","2025.10.10","`623: Épület költségei","T","20 000","NY/SZAL/29/2025"
"---","2025.10.10","`3832: Dániel homály pénztár zsebe","K","20 000","NY/SZAL/29/2025"
"---","2025.10.10","`05306: Hatósági díjak","T","68 000","SZ/SZAL/5/2025"
"---","2025.10.10","`0454: Szállítók","K","68 000","SZ/SZAL/5/2025"
"---","2025.09.30","`5302: Bank költségek","T","792","NY/SZAL/39/2025"
"---","2025.09.30","`382: Folyószámla","K","792","NY/SZAL/39/2025"
"---","2025.09.30","`382: Folyószámla","T","155","NY/VEV/8/2025"
"---","2025.09.30","`973: Hitelintézettől kapott kamatok","K","155","NY/VEV/8/2025"
"---","2025.09.18","`5113: Üzemanyag","T","31 801","NY/SZAL/37/2025"
"---","2025.09.18","`382: Folyószámla","K","31 801","NY/SZAL/37/2025"
"---","2025.09.17","`3832: Dániel homály pénztár zsebe","T","100 000","NY/SZAL/40/2025"
"---","2025.09.17","`5113: Üzemanyag","K","100 000","NY/SZAL/40/2025"
"---","2025.08.29","`5302: Bank költségek","T","792","NY/SZAL/38/2025"
"---","2025.08.29","`382: Folyószámla","K","792","NY/SZAL/38/2025"
"---","2025.08.15","`5113: Üzemanyag","T","24 878","NY/SZAL/36/2025"
"---","2025.08.15","`382: Folyószámla","K","24 878","NY/SZAL/36/2025"
"---","2025.08.04","`621: Földterület költségei","T","100 000","NY/SZAL/30/2025"
"---","2025.08.04","`3832: Dániel homály pénztár zsebe","K","100 000","NY/SZAL/30/2025"
"---","2025.07.31","`5302: Bank költségek","T","12 703","NY/SZAL/32/2025"
"---","2025.07.31","`382: Folyószámla","K","12 703","NY/SZAL/32/2025"
"---","2025.07.31","`5302: Bank költségek","T","792","NY/SZAL/33/2025"
"---","2025.07.31","`382: Folyószámla","K","792","NY/SZAL/33/2025"
"---","2025.07.28","`5113: Üzemanyag","T","30 225","NY/SZAL/35/2025"
"---","2025.07.28","`382: Folyószámla","K","30 225","NY/SZAL/35/2025"
"---","2025.07.17","`5304: Jogi költségek","T","101 600","NY/SZAL/31/2025"
"---","2025.07.17","`382: Folyószámla","K","101 600","NY/SZAL/31/2025"
"---","2025.07.17","`5113: Üzemanyag","T","31 744","NY/SZAL/34/2025"
"---","2025.07.17","`382: Folyószámla","K","31 744","NY/SZAL/34/2025"
