Létrehozva;Értéknap;Azonosító;Akció gombok;Gazdasági esemény;Összeg;Tartozik;Követel;Megjegyzések;
2025.01.16 10:56;2024.12.14;SZ/DIJ/1/2025;;Albetét előírás;500 000; 0336: Tagbetét előírás A1: A1; 0956: Tagbetét befizetés;-;
2025.01.16 10:56;2024.12.14;SZ/DIJ/2/2025;;Albetét előírás;500 000; 0336: Tagbetét előírás A2: A2; 0956: Tagbetét befizetés;-;
2025.01.16 10:56;2024.12.14;SZ/DIJ/3/2025;;Albetét előírás;500 000; 0336: Tagbetét előírás A3: A3; 0956: Tagbetét befizetés;-;
2025.01.16 10:56;2024.12.14;SZ/DIJ/4/2025;;Albetét előírás;500 000; 0336: Tagbetét előírás A4: A4; 0956: Tagbetét befizetés;-;
2025.01.16 10:56;2024.12.14;SZ/DIJ/5/2025;;Albetét előírás;500 000; 0336: Tagbetét előírás A5: A5; 0956: Tagbetét befizetés;-;
2025.01.16 10:56;2024.12.14;SZ/DIJ/6/2025;;Albetét előírás;500 000; 0336: Tagbetét előírás A6: A6; 0956: Tagbetét befizetés;-;
2025.01.16 11:03;2025.01.16;SZ/DIJ/7/2025;;Albetét előírás;12 500 000; 0333: Földvásárlási alap előírás A1: A1; 0953: Földvásárlási alap befizetés;-;
2025.01.16 11:03;2025.01.16;SZ/DIJ/8/2025;;Albetét előírás;12 500 000; 0333: Földvásárlási alap előírás A2: A2; 0953: Földvásárlási alap befizetés;-;
2025.01.16 11:03;2025.01.16;SZ/DIJ/9/2025;;Albetét előírás;12 500 000; 0333: Földvásárlási alap előírás A3: A3; 0953: Földvásárlási alap befizetés;-;
2025.01.16 11:03;2025.01.16;SZ/DIJ/10/2025;;Albetét előírás;12 500 000; 0333: Földvásárlási alap előírás A4: A4; 0953: Földvásárlási alap befizetés;-;
2025.01.16 12:28;2024.12.23;ATV/1/2025;;Átvezetés pénz számlák között;3 000 000; 382: Folyószámla; 3811: Pál pénztár zsebe;-;
2025.01.16 12:29;2024.12.23;NY/SZAL/1/2025;;Kiadás elszámolás;4 500; 5302: Bank költségek; 382: Folyószámla;-;
2025.01.16 12:32;2024.12.31;NY/SZAL/2/2025;;Kiadás elszámolás;255; 5302: Bank költségek; 382: Folyószámla;-;
2025.01.16 12:32;2024.12.31;NY/SZAL/3/2025;;Kiadás elszámolás;764; 5302: Bank költségek; 382: Folyószámla;-;
2025.01.16 12:35;2024.12.31;NY/VEV/2/2025;;Bevétel elszámolás;7; 382: Folyószámla; 973: Hitelintézettől kapott kamatok;-;
2025.01.16 12:35;2024.12.23;NY/VEV/1/2025;;Bevétel elszámolás;1; 382: Folyószámla; 973: Hitelintézettől kapott kamatok;-;
2025.01.16 12:41;2024.12.10;NY/SZAL/4/2025;;Kiadás elszámolás;255 000;Több számla; 3811: Pál pénztár zsebe;2024-39;
2025.01.16 12:44;2024.12.11;FIZ/DIJ/1/2025;;Albetét befizetés;395 000;Több számla;Több számla;-;
2025.01.16 12:49;2024.12.10;FIZ/DIJ/2/2025;;Albetét befizetés;255 000;Több számla;Több számla;-;
2025.01.16 12:51;2024.12.11;FIZ/DIJ/3/2025;;Albetét befizetés;500 000;Több számla;Több számla;-;
2025.01.16 12:51;2024.12.11;FIZ/DIJ/4/2025;;Albetét befizetés;245 000;Több számla;Több számla;-;
2025.01.16 12:53;2024.12.11;FIZ/DIJ/5/2025;;Albetét befizetés;500 000;Több számla;Több számla;-;
2025.01.16 12:53;2024.12.11;FIZ/DIJ/6/2025;;Albetét befizetés;500 000;Több számla;Több számla;-;
2025.01.16 12:55;2024.12.10;NY/SZAL/5/2025;;Kiadás elszámolás;105 000;Több számla; 3812: Dániel pénztár zsebe;-;
2025.01.16 13:03;2024.12.10;FIZ/DIJ/7/2025;;Albetét befizetés;105 000;Több számla;Több számla;-;
2025.01.16 15:41;2024.12.14;SZ/DIJ/11/2025;;Albetét előírás;172 000;Több számla;Több számla;-;
2025.01.16 15:41;2024.12.14;SZ/DIJ/12/2025;;Albetét előírás;172 000;Több számla;Több számla;-;
2025.01.16 15:41;2024.12.14;SZ/DIJ/13/2025;;Albetét előírás;172 000;Több számla;Több számla;-;
2025.01.16 15:41;2024.12.14;SZ/DIJ/14/2025;;Albetét előírás;172 000;Több számla;Több számla;-;
2025.01.16 15:41;2024.12.14;SZ/DIJ/15/2025;;Albetét előírás;60 000; 0335: Rendkivüli befizetés előírás A5: A5; 0955: Rendkivüli befizetés;-;
